link,video_name,duration_seconds,analysis_seconds
ORPGr4m2-Sw,Berlin1_ORPGr4m2-Sw,709.0750333333333,2452.3
xNCeG8sO-bQ,Berlin2_xNCeG8sO-bQ,36.302933333333335,166.5
slTbgnXsBik,London1_slTbgnXsBik,13.966666666666669,1464.2
hm8yVZF-LHY,Mumbai1_hm8yVZF-LHY,41.07436666666667,132.8
mJZldCMZhyA,Mumbai2_mJZldCMZhyA,33.583333333333336,166.5
m_wznfPqd0I,NewYork1_m_wznfPqd0I,87.7,272.0
8Tee4dzv0Bs,NewYork3_8Tee4dzv0Bs,145.6455,1092.6
UElofxU8Nvo,Paris1_UElofxU8Nvo,437.4666666666666,2144.5
obsNhiqsuJ4,Paris2_obsNhiqsuJ4,33.6,125.9
pnVAm2YhJLg,Tokyo1_pnVAm2YhJLg,192.0919,972.0
GuYrT1OGJyc,Tokyo2_GuYrT1OGJyc,22.2,161.3
Qh1n6VVKgn0,Ulm1_Qh1n6VVKgn0,1205.4666666666667,1902.8
ULl8s4qydrk,Ulm2_ULl8s4qydrk,1799.7646333333334,1913.5
