city,link,video_name,duration_seconds,total_frames,total_pedestrians,total_crossed_pedestrians,measured_avg_walking_speed_mps,measured_crossing_speed_mps,measured_crossing_speed_n,pipeline_version,average_age,phone_usage_ratio,risky_crossing_ratio,run_red_light_ratio,crosswalk_usage_ratio,traffic_signs_ratio,total_vehicles,top3_vehicles,main_weather,sidewalk_prob,crosswalk_prob,traffic_light_prob,avg_road_width,Crack_prob,Potholes_prob,police_car_prob,Arrow Board_prob,cones_prob,accident_prob,pet_severe_conflicts,pet_moderate_conflicts,pet_queued_interactions,pet_min_s,vehicle_median_speed_mps,vehicle_p85_speed_mps,mean_headway_s,platoon_frac,vehicle_flow_per_min,anticipatory_start_frac,mean_red_exposure_s,hesitation_rate,aborted_start_rate,evasive_event_count,n_social_groups,grouped_pedestrians,look_before_cross_frac,looked_both_ways_frac,median_cadence_hz,cadence_n,top_vehicle1,top_vehicle2,top_vehicle3,crossing_time,crossing_speed,data_collected_date,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini
Berlin,ORPGr4m2-Sw,Berlin1_ORPGr4m2-Sw,,0,6,,,,,legacy_1hz,37,0.0,,,,0.30888575458392104,10,"['motorbike', 'car', 'truck']",rain,,0.02117547409533669,0.3244005641748942,14.016939655172415,0.055056232647875396,0.0,0.0,0.11424541607898449,0.07475317348377997,0.0,,,,,,,,,,,,0.0,0.0,0,,,,,,,motorbike,car,truck,8.44,1.78,2026-07-25,,Germany,DEU,Europe,52.510885,13.3989367,271.818,3426354.0,83240525.0,3.8,99.0,173.2,46.7,32.4
Berlin,xNCeG8sO-bQ,Berlin2_xNCeG8sO-bQ,,0,2,,,,,legacy_1hz,26,0.0,,,,0.10810810810810811,0,"['ambulance', 'army vehicle', 'auto rickshaw']",rain,,0.0,0.08108108108108109,3.8203030303030303,0.05514705882352941,0.027573529411764705,0.0,0.08108108108108109,0.0,0.0,,,,,,,,,,,,0.0,0.0,0,,,,,,,ambulance,army vehicle,auto rickshaw,8.44,1.78,2026-07-25,,Germany,DEU,Europe,52.510885,13.3989367,271.818,3426354.0,83240525.0,3.8,99.0,173.2,46.7,32.4
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,,0,994,77,0.904,1.369,18,dense_v2,32,0.010559662090813094,0.38961038961038963,0.11688311688311688,0.0,0.20540910647038685,320,"['car', 'truck', 'motorbike']",shine,0.9476027397260274,0.0,0.3077713111947963,1.8377705479452056,0.2558204576457897,0.026369712501640972,0.0,0.006846970215679562,0.0010270455323519343,0.0,112,49,12,0.0,0.662,3.506,2.937,0.45,85.82,0.083,0.78,0.002,0.0,3,71,187,0.426,0.0,1.858,17,car,truck,motorbike,3.96,0.87,2026-07-25,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Chicago,XzwI2rGmf04,Chicago_XzwI2rGmf04,,0,618,48,1.168,1.524,5,dense_v2,42,0.004314063848144953,0.7916666666666666,0.125,0.0,0.14703514891333513,375,"['car', 'truck', 'bus']",shine,0.8939881910896403,0.0,0.3136570968607459,1.7678582930756843,0.05553642579566137,0.0042930162463833575,0.00026831231553528306,0.005634558626240944,0.017976925140863964,0.0,111,37,38,0.0,0.981,5.807,4.56,0.448,68.15,0.095,1.168,0.002,0.0,2,20,44,0.556,0.0,1.873,5,car,truck,bus,,,2026-07-25,IL,United States,USA,North America,41.8755616,-87.6244212,832.899,2696555.0,329484123.0,12.7,86.0,170.1,38.5,41.3
Cincinnati,G1I_PlmL_YA,Cincinnati_G1I_PlmL_YA,,0,16,2,1.255,1.333,1,dense_v2,27,0.0,1.0,0.0,0.0,0.016666666666666666,6,"['car', 'truck', 'bicycle']",rain,,0.05005561735261402,0.0,3.1576271186440676,0.10011123470522804,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.418,1.388,7.458,0.0,8.05,,,0.024,0.0,0,1,2,,,,,car,truck,bicycle,,,2026-07-25,OH,United States,USA,North America,39.1014537,-84.5124602,186.141,309317.0,329484123.0,12.7,86.0,170.1,38.5,41.3
Dhaka,ZruaEnhtYLA,Dhaka_ZruaEnhtYLA,900.0,27000,117,17,0.944,,,dense_v2,32,0.002403846153846154,1.0,0.0,0.0,0.021111111111111112,219,"['car', 'truck', 'motorbike']",sunrise,0.9366666666666666,0.0,0.0,0.902411111111111,0.2722222222222222,0.06444444444444444,0.0,0.0033333333333333335,0.0,0.0033333333333333335,11,5,0,0.0,,,4.456,0.332,78.8,,,0.001,0.0,0,4,8,0.167,0.0,,,car,truck,motorbike,2.55,1.17,2026-07-27,,Bangladesh,BGD,Asia,23.764402,90.389015,258.2,10356500.0,164689383.0,15.3,75.0,158.7,29.2,33.4
Jakarta,gmDBzijaIAA,Jakarta_gmDBzijaIAA,,0,1903,204,1.236,1.349,6,dense_v2,30,0.006256256256256257,0.9166666666666666,0.06372549019607843,0.0,0.17446951835634894,411,"['car', 'motorbike', 'bus']",shine,0.7793126684636119,0.0,0.05826877736611654,1.9658591644204852,0.02930625031580011,0.004379094874774729,0.0,0.012798922196025598,0.008420343550016841,0.0,134,81,56,0.0,1.22,3.488,3.794,0.404,87.05,0.105,4.137,0.01,0.001,3,71,162,0.32,0.006,1.736,5,car,motorbike,bus,4.12,0.97,2026-07-25,,Indonesia,IDN,Asia,-6.175394,106.827183,323.03,8540121.0,273523621.0,11.3,96.0,160.3,31.2,36.1
Kuala Lumpur,AxQcSoA9vGQ,Kuala Lumpur_AxQcSoA9vGQ,,0,715,82,0.992,1.168,5,dense_v2,30,0.006081081081081081,0.9024390243902439,0.23170731707317074,0.0,0.25430210325047803,406,"['car', 'motorbike', 'truck']",shine,0.8096907873764744,0.0,0.10866794136392607,1.903538412496015,0.13802923159477423,0.00988200041440647,0.00031867431485022306,0.007329509241555131,0.005417463352453792,0.0,169,51,25,0.0,1.339,4.566,4.703,0.375,61.69,0.6,3.662,0.008,0.0,3,30,83,0.191,0.0,,,car,motorbike,truck,4.29,0.78,2026-07-25,,Malaysia,MYS,Asia,3.151696,101.694237,59.831,1453975.0,32365998.0,22.5,83.0,163.1,31.4,40.7
Las Vegas,KWciBlhQjRA,Las Vegas_KWciBlhQjRA,,0,351,6,0.798,,,dense_v2,36,0.002207505518763797,0.6666666666666666,0.0,0.0,0.0873850197109067,238,"['car', 'truck', 'bus']",sunrise,0.8135815991237678,0.0,0.1835304424003504,1.7547250821467688,0.2604381523274789,0.007009269028157548,0.000657030223390276,0.01029347349978099,0.0019710906701708277,0.0002190100744634253,0,0,0,,1.255,8.151,5.43,0.36,58.54,,0.0,0.0,0.0,0,16,55,0.0,0.0,,,car,truck,bus,,,2026-07-25,NV,United States,USA,North America,36.1672559,-115.148516,160.728,623747.0,329484123.0,12.7,86.0,170.1,38.5,41.3
London,slTbgnXsBik,London1_slTbgnXsBik,,0,2,1,,,,legacy_1hz,29,0.0,1.0,0.0,0.0,0.0,0,"['ambulance', 'army vehicle', 'auto rickshaw']",rain,,0.0,1.0,4.95,0.07159904534606205,0.0,0.07142857142857142,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0,1,2,,,,,ambulance,army vehicle,auto rickshaw,3.07,2.0,2026-07-25,,United Kingdom,GBR,Europe,51.5074456,-0.1277653,692.765,8961989.0,67215293.0,3.2,99.0,171.0,40.6,32.4
