city,link,video_name,lat,lon,confidence_level,confidence_spread_m,street_names,status,source,city_lat,city_lon,result_json,candidates,route_latlon,route_length_m,trajectory_source
Berlin,ORPGr4m2-Sw,Berlin1_ORPGr4m2-Sw,52.49472,13.429245,low,13530.4,Ohlauer Straße; Friedelstraße; Hobrechtbrücke; Maybachufer; Liberdastraße,ok,monocular_osm_localization,52.510885,13.3989367,analysis_results\Berlin1_ORPGr4m2-Sw\osm_localization\local-f788fd3a6547-berlin1-orpgr4m2-sw-berlin-germany\result.json,"[{""rank"": 1, ""latitude"": 52.49472, ""longitude"": 13.429245, ""street_names"": [""Ohlauer Straße"", ""Friedelstraße"", ""Hobrechtbrücke""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=52.494720,13.429245""}, {""rank"": 2, ""latitude"": 52.466128, ""longitude"": 13.513106, ""street_names"": [""Edisonstraße"", ""Griechische Allee"", ""Parsevalstraße""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=52.466128,13.513106""}, {""rank"": 3, ""latitude"": 52.614815, ""longitude"": 13.491406, ""street_names"": [""Forkenzeile"", ""Achillesstraße"", ""Lossebergplatz""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=52.614815,13.491406""}, {""rank"": 4, ""latitude"": 52.55783, ""longitude"": 13.426569, ""street_names"": [""Eschengraben"", ""Elsa-Brändström-Straße"", ""Neumannstraße""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=52.557830,13.426569""}, {""rank"": 5, ""latitude"": 52.428152, ""longitude"": 13.362881, ""street_names"": [""Belßstraße"", ""Haynauer Straße"", ""Preysingstraße""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=52.428152,13.362881""}]","[[52.49472, 13.429245], [52.494899, 13.429352], [52.495018, 13.429422], [52.495194, 13.429539], [52.495314, 13.429609], [52.495396, 13.429863], [52.495299, 13.429939], [52.495181, 13.429864], [52.495003, 13.429752], [52.494885, 13.429678], [52.494707, 13.429566], [52.49453, 13.429454], [52.494411, 13.42938], [52.494234, 13.429266], [52.494115, 13.429196], [52.493936, 13.429089], [52.493817, 13.429015], [52.493638, 13.428913], [52.493461, 13.428798], [52.49338, 13.428931], [52.493418, 13.42867], [52.493386, 13.428469], [52.493311, 13.428579], [52.493192, 13.428823], [52.493113, 13.428985], [52.492994, 13.429229], [52.492915, 13.429391], [52.492796, 13.429634], [52.492678, 13.429878], [52.492598, 13.43004], [52.49248, 13.430284], [52.492444, 13.430327], [52.492579, 13.430115], [52.492738, 13.429944], [52.492844, 13.42983], [52.493003, 13.429658], [52.493085, 13.429581], [52.492946, 13.429792], [52.492847, 13.429922], [52.492769, 13.430202], [52.492606, 13.43005], [52.492503, 13.42993], [52.492347, 13.42975], [52.492244, 13.42963], [52.492088, 13.42945], [52.491933, 13.42927], [52.49183, 13.42915], [52.491674, 13.42897], [52.491571, 13.42885], [52.491583, 13.428629]]",1099.2648333333334,vo
Berlin,xNCeG8sO-bQ,Berlin2_xNCeG8sO-bQ,,,,,,subprocess_failed,monocular_osm_localization,52.510885,13.3989367,,,,,
London,slTbgnXsBik,London1_slTbgnXsBik,,,,,,osm_env_not_configured,monocular_osm_localization,51.5074456,-0.1277653,,,,,
Mumbai,hm8yVZF-LHY,Mumbai1_hm8yVZF-LHY,,,,,,subprocess_failed,monocular_osm_localization,18.938771,72.835335,,,,,
Mumbai,mJZldCMZhyA,Mumbai2_mJZldCMZhyA,,,,,,subprocess_failed,monocular_osm_localization,18.938771,72.835335,,,,,
New York,_Wyg213IZDI,New York__Wyg213IZDI,,,,,,subprocess_failed,monocular_osm_localization,40.7127281,-74.0060152,,,,,
NewYork,m_wznfPqd0I,NewYork1_m_wznfPqd0I,,,,,,subprocess_failed,monocular_osm_localization,,,,,,,
NewYork,8Tee4dzv0Bs,NewYork3_8Tee4dzv0Bs,40.798642,-73.921294,low,16981.4,Bronx Shore Road,ok,monocular_osm_localization,,,analysis_results\NewYork3_8Tee4dzv0Bs\osm_localization\local-1dabca3420e5-newyork3-8tee4dzv0bs-new-york-united-states\result.json,"[{""rank"": 1, ""latitude"": 40.798642, ""longitude"": -73.921294, ""street_names"": [""Bronx Shore Road""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=40.798642,-73.921294""}, {""rank"": 2, ""latitude"": 40.573144, ""longitude"": -73.86379, ""street_names"": [""Newport Avenue"", ""Beach 147th Street""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=40.573144,-73.863790""}, {""rank"": 3, ""latitude"": 40.661673, ""longitude"": -73.99956, ""street_names"": [""25th Street"", ""3rd Avenue"", ""23rd Street""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=40.661673,-73.999560""}, {""rank"": 4, ""latitude"": 40.628372, ""longitude"": -74.141338, ""street_names"": [""Orange Avenue"", ""Port Richmond Avenue"", ""Linda Court""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=40.628372,-74.141338""}, {""rank"": 5, ""latitude"": 40.686885, ""longitude"": -73.794022, ""street_names"": [""Sutphin Boulevard"", ""112th Avenue"", ""155th Street""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=40.686885,-73.794022""}]","[[40.798642, -73.921294], [40.798657, -73.921251], [40.798633, -73.92124], [40.798688, -73.921265], [40.798714, -73.921269], [40.798693, -73.921252], [40.798702, -73.921245], [40.798697, -73.921239], [40.7987, -73.921234], [40.798667, -73.92123], [40.798612, -73.921257], [40.798556, -73.921254], [40.79856, -73.921204], [40.798586, -73.921137], [40.798605, -73.921092], [40.79859, -73.921126], [40.798602, -73.921172], [40.798643, -73.921159], [40.798602, -73.92116], [40.798636, -73.921185], [40.798606, -73.921152], [40.798622, -73.921199], [40.798584, -73.921175], [40.798563, -73.921125], [40.7986, -73.921142], [40.798603, -73.92119], [40.798599, -73.921142], [40.798595, -73.921192], [40.798599, -73.921157], [40.798599, -73.92116], [40.798597, -73.921083], [40.798597, -73.92104], [40.798598, -73.921056], [40.798594, -73.92098], [40.798594, -73.921003], [40.798583, -73.921051], [40.798582, -73.921044], [40.798579, -73.920968], [40.798567, -73.92092], [40.798544, -73.920853], [40.798531, -73.920886], [40.798543, -73.920932], [40.798537, -73.920858], [40.798528, -73.920838], [40.798527, -73.920874], [40.798557, -73.920808], [40.798545, -73.920842], [40.798567, -73.920827], [40.79854, -73.920853], [40.798558, -73.920795]]",500.0,vo
Paris,UElofxU8Nvo,Paris1_UElofxU8Nvo,48.834138,2.348361,low,5691.5,Rue de Croulebarbe; Rue Berbier-du-Mets; Rue Émile Deslandres; Rue des Cordelières; Rue Pascal; Place Claude Bourdet,ok,monocular_osm_localization,48.8588897,2.320041022,analysis_results\Paris1_UElofxU8Nvo\osm_localization\local-21f748594d95-paris1-uelofxu8nvo-paris-france\result.json,"[{""rank"": 1, ""latitude"": 48.834138, ""longitude"": 2.348361, ""street_names"": [""Rue de Croulebarbe"", ""Rue Berbier-du-Mets"", ""Rue Émile Deslandres""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.834138,2.348361""}, {""rank"": 2, ""latitude"": 48.883531, ""longitude"": 2.35303, ""street_names"": [""Boulevard de la Chapelle"", ""Rue Ambroise Paré"", ""Rue de Maubeuge""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.883531,2.353030""}, {""rank"": 3, ""latitude"": 48.867238, ""longitude"": 2.40779, ""street_names"": [""Rue Pierre Mouillard"", ""Boulevard Mortier"", ""Rue du Capitaine Tarron""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.867238,2.407790""}, {""rank"": 4, ""latitude"": 48.841595, ""longitude"": 2.404317, ""street_names"": [""Avenue du Docteur Arnold Netter"", ""Rue Victor Chevreuil"", ""Rue Sibuet""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.841595,2.404317""}, {""rank"": 5, ""latitude"": 48.820583, ""longitude"": 2.351717, ""street_names"": [""Rue Aimé Morot"", ""Boulevard Kellermann"", ""Rue Thomire""], ""support"": 1, ""google_maps_url"": ""https://www.google.com/maps?q=48.820583,2.351717""}]","[[48.834138, 2.348361], [48.834111, 2.348251], [48.834158, 2.348412], [48.834202, 2.34885], [48.834224, 2.349142], [48.834225, 2.349167], [48.834107, 2.349511], [48.834143, 2.349571], [48.834251, 2.349333], [48.834319, 2.349063], [48.834457, 2.348671], [48.834488, 2.348644], [48.834369, 2.348837], [48.834228, 2.349005], [48.834187, 2.349086], [48.834413, 2.348889], [48.834582, 2.348811], [48.834577, 2.348825], [48.834573, 2.348685], [48.83448, 2.348425], [48.834619, 2.348691], [48.834724, 2.34894], [48.83481, 2.349021], [48.834812, 2.349067], [48.834816, 2.349072], [48.83481, 2.348915], [48.834809, 2.348822], [48.834854, 2.348762], [48.834932, 2.349189], [48.83498, 2.349475], [48.834887, 2.349295], [48.834735, 2.349117], [48.834548, 2.34879], [48.834349, 2.348556], [48.834249, 2.34841], [48.834056, 2.348351], [48.83404, 2.348107], [48.833826, 2.348337], [48.833639, 2.348405], [48.83343, 2.348705], [48.833265, 2.349067], [48.83329, 2.349133], [48.833321, 2.349268], [48.833471, 2.349455], [48.833707, 2.349718], [48.833938, 2.349989], [48.834073, 2.3502], [48.834275, 2.350522], [48.834406, 2.350739], [48.834467, 2.350987]]",2075.333333333333,vo
Paris,obsNhiqsuJ4,Paris2_obsNhiqsuJ4,,,,,,subprocess_failed,monocular_osm_localization,48.8588897,2.320041022,,,,,
Tokyo,pnVAm2YhJLg,Tokyo1_pnVAm2YhJLg,,,,,,subprocess_failed,monocular_osm_localization,35.682839,139.759455,,,,,
Tokyo,GuYrT1OGJyc,Tokyo2_GuYrT1OGJyc,,,,,,subprocess_failed,monocular_osm_localization,35.682839,139.759455,,,,,
