weather,daytime,run_red_light_prob,risky_crossing_prob
sunrise,Day,7.174887892376682,83.40807174887892
sunrise,Evening,0.0,100.0
sunrise,Night,0.0,100.0
shine,Day,14.502529510961216,84.99156829679595
shine,Evening,17.142857142857142,77.14285714285715
shine,Night,0.0,100.0
rain,Day,15.632754342431761,77.91563275434244
rain,Evening,29.629629629629626,88.88888888888889
rain,Night,14.285714285714285,85.71428571428571
cloudy,Day,6.976744186046512,69.76744186046511
cloudy,Evening,16.666666666666664,100.0
cloudy,Night,50.0,100.0
